R;G;B;brightness;class
0,964705882;0,133333333;0,180392157;0,209335956;Red
0,996078431;0;0,980392157;0,279538387;Purple
0,08627451;1;0,196078431;0,719202245;Green
0,196078431;0,51372549;0,996078431;0,24046644;Blue
0,996078431;0,68627451;0,08627451;0,517885419;Yellow
0,690196078;0;0,407843137;0,102268139;Red
0,109803922;1;0,807843137;0,762107636;Green
0,564705882;0,678431373;0,109803922;0,359000405;Green
0,180392157;0,850980392;1;0,574065505;Blue
0,870588235;0,62745098;0,992156863;0,477434108;Purple
0,666666667;0,050980392;0,996078431;0,159698305;Purple
0,97254902;0,631372549;0,623529412;0,479424661;Yellow
0,196078431;0,352941176;0,607843137;0,103504407;Blue
0,768627451;0,270588235;0,109803922;0,160756143;Red
0,109803922;0,51372549;0,337254902;0,171495001;Green
0,521568627;0,4;0,050980392;0,145182657;Green
0,694117647;0,050980392;0,631372549;0,122010403;Purple
0,984313725;0,894117647;0,149019608;0,761355877;Yellow
0,109803922;0,745098039;0,309803922;0,376367372;Green
0,980392157;0;0,529411765;0,220684176;Red
0,988235294;0,109803922;0,749019608;0,252771228;Purple
0,968627451;0,882352941;0,62745098;0,761556189;Yellow
0,752941176;0,458823529;0,650980392;0,266745944;Purple
0,470588235;0,164705882;0,71372549;0,090170417;Purple
0,666666667;0,956862745;0;0,732474148;Green
0,741176471;0,803921569;1;0,616814601;Blue
0,509803922;0,180392157;0,109803922;0,067834247;Red
0,709803922;0,937254902;0,709803922;0,748837153;Green
0,494117647;0,843137255;0,819607843;0,576271948;Green
0,109803922;0,498039216;0,576470588;0,175263688;Green
0,847058824;0,37254902;0,968627451;0,294801459;Purple
0,407843137;0,231372549;0,474509804;0,074476375;Purple
0,4;0,690196078;1;0,410754486;Blue
0,231372549;0;0,984313725;0,078755477;Blue
